Source,Target,timeset,weight
62371970,169212326,,1.0
239493264,118256817,,1.0
239493264,22311606,,1.0
14914199,247091695,,1.0
110458136,118256817,,1.0
155324319,90558638,,1.0
129410085,32259750,,1.0
32259750,129410085,,1.0
103719850,231505518,,1.0
103719850,17026967,,1.0
259807660,91018677,,1.0
118256817,239493264,,1.0
118256817,110458136,,1.0
20645938,28725432,,1.0
22311606,239493264,,1.0
7961402,96128828,,1.0
96128828,7961402,,1.0
248749120,197871949,,1.0
168712133,131497048,,1.0
197871949,248749120,,1.0
45379406,16267746,,1.0
9508302,191282392,,1.0
16958292,30096240,,1.0
131497048,168712133,,1.0
191282392,9508302,,1.0
16267746,45379406,,1.0
